Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
65.011	73.002	80.615	84.467
68.554	72.432	78.119	83.787
67.526	74.254	80.615	83.221
64.667	73.457	76.756	84.919
66.612	74.937	79.140	82.995
66.612	72.318	79.254	85.711
64.896	71.292	78.346	83.335
66.269	74.481	80.388	83.561
65.811	73.343	78.800	86.615
66.841	72.546	78.573	84.014
67.526	74.823	78.232	84.014
69.239	73.229	78.686	85.032
68.554	71.406	77.551	83.335
65.583	72.546	78.913	85.145
66.612	71.520	79.594	83.108
66.498	74.823	78.913	86.842
66.269	71.748	79.254	83.674
65.354	73.799	80.388	83.108
69.582	73.002	81.069	84.919
66.383	72.660	79.254	84.014
67.298	74.823	80.842	84.467
67.412	74.595	80.388	83.108
65.926	74.823	80.955	85.598
67.183	73.685	77.778	84.693
66.498	73.115	81.295	83.901
67.069	72.318	78.913	83.674
66.955	72.546	78.232	84.467
66.040	73.912	81.635	86.502
67.755	75.733	78.346	85.145
67.869	74.823	78.686	87.181
67.069	73.115	81.182	86.729
68.668	75.391	77.664	84.240
67.298	76.074	81.409	85.485
69.125	73.115	81.749	85.372
66.498	75.619	78.119	84.467
67.755	74.823	80.048	85.145
66.726	76.415	78.119	83.335
70.266	73.912	81.182	84.240
66.726	74.026	80.842	85.711
69.924	75.846	79.140	85.598
70.152	72.888	82.202	85.824
67.298	72.546	78.913	84.353
67.298	73.229	82.315	86.163
69.696	73.685	81.069	87.068
70.608	76.528	81.862	84.806
66.955	72.774	82.202	84.353
70.494	74.140	82.429	85.372
68.097	75.505	82.202	85.372
68.554	75.505	79.481	85.937
69.011	76.187	81.862	87.068
68.897	76.301	80.842	85.145
68.326	73.002	82.429	87.294
68.440	74.026	79.367	85.372
67.069	76.642	79.594	85.711
67.526	76.642	81.182	87.407
67.869	74.823	81.975	85.937
69.810	76.415	79.367	85.485
71.292	76.074	79.594	87.858
67.298	76.301	78.913	84.806
67.526	75.505	81.295	86.502
68.097	73.457	80.162	84.580
69.011	73.685	79.935	87.858
69.468	74.368	83.221	88.310
67.869	74.481	81.975	86.389
68.668	74.823	81.295	87.971
69.696	73.571	82.655	86.842
67.869	75.619	83.221	87.633
69.582	75.391	83.108	86.955
69.125	77.324	81.975	85.145
69.810	73.912	80.388	86.955
71.064	75.164	82.995	87.858
69.696	75.164	81.182	87.294
69.353	76.415	81.749	86.842
71.406	74.481	79.367	85.259
67.983	74.709	80.502	86.615
70.950	75.619	79.935	87.181
71.634	77.324	80.388	88.875
69.353	74.481	82.089	84.919
72.204	76.187	81.182	85.032
69.011	77.778	82.202	85.711
68.097	76.301	83.561	87.858
69.125	75.733	83.901	85.485
69.924	76.187	81.182	86.502
70.950	75.164	80.955	87.520
72.204	76.187	81.182	88.084
70.266	76.756	81.635	89.214
68.783	77.097	80.502	86.389
68.897	74.709	82.882	88.875
70.608	76.301	82.768	87.181
71.292	74.709	83.561	86.955
72.318	76.642	84.240	87.181
71.748	77.210	81.635	88.988
72.318	74.709	83.335	87.068
69.696	78.119	83.561	86.729
71.178	75.278	80.729	88.875
70.494	75.733	80.955	87.971
69.810	75.960	81.182	88.536
71.862	77.551	83.108	85.937
70.266	78.800	81.749	87.068
69.582	76.301	81.522	89.891
69.924	75.960	83.108	89.101
71.520	75.960	83.561	87.294
72.090	74.937	83.561	88.649
69.582	78.005	82.202	88.197
72.888	77.551	82.768	86.050
72.090	77.437	82.089	88.423
72.546	75.164	80.615	88.423
